"sightingId","trainId","sensorId","detectionTimeUTC","detectionTimeSensorLocal","detectionEndUTC","detectionEndSensorLocal","direction","speedMph","trainType","trainOperator","warnings","issues","lastModified","estGallonageCapacity","estCubicFeetCapacity","estloadLimitTons","estTareWeightTons","estGrossWeightTons","estLengthFeet"
217972,139479,13,"2022-06-19T17:55:54.553Z","2022-06-19T10:55:54.553-07:00[America/Vancouver]",NA,NA,"Westbound",58.417385520778,"Manifest","CN","[]","[]","2022-06-19T18:04:01.167Z",NA,11023.5,580.249360384045,243.499731587273,823.749091971318,353.541666666667
218094,139033,55,"2022-06-19T21:40:04.427Z","2022-06-19T14:40:04.427-07:00[America/Vancouver]",NA,NA,"Eastbound",50.6455052180667,"Manifest","CN","[]","[]","2022-06-20T12:41:24.506Z",1430874,107018.2,8313.99012110146,3906.52021760459,12220.5103387061,6675.1246031746
218349,139140,47,"2022-06-20T07:31:00.947Z","2022-06-20T01:31:00.947-06:00[America/Edmonton]",NA,NA,"Eastbound",54.5311912482757,"Manifest","CN","[]","[]","2022-06-20T07:41:49.381Z",1249351.875,261824.928571429,9240.53869796994,3398.14045061686,12638.6791485868,5628.98214285714
218475,139033,47,"2022-06-20T12:28:20.126Z","2022-06-20T06:28:20.126-06:00[America/Edmonton]",NA,NA,"Eastbound",55.5625297748982,"Manifest","CN","[]","[]","2022-06-20T12:41:24.571Z",1440446.25,63540.2857142857,5848.22641057148,3284.06066565412,9132.28707622559,5140.16071428571
219460,139945,8,"2022-06-21T17:33:39.137Z","2022-06-21T10:33:39.137-07:00[America/Vancouver]",NA,NA,"Westbound",50.0613558512401,"Manifest","CN","[]","[]","2022-06-28T06:20:44.842Z",1700642.92682927,195595.611111111,11675.3992574361,5291.57987163394,16966.9791290701,8538.83367208672
219501,139795,47,"2022-06-21T19:50:02.878Z","2022-06-21T13:50:02.878-06:00[America/Edmonton]",NA,NA,"Eastbound",56.3614854040328,"Petroleum Unit","CN","[]","[]","2022-06-21T20:17:51.245Z",3007584.32941177,NA,7255.21964954162,4448.26744956165,11703.4870991033,6017.2725490196
219508,139795,85,"2022-06-21T19:53:05.088Z","2022-06-21T13:53:05.088-06:00[America/Edmonton]",NA,NA,"Eastbound",62.0927523780231,"Petroleum Unit","CN","[]","[]","2022-06-21T20:17:51.311Z",2940046.55421687,NA,7093.58434933006,4346.903039681,11440.4873890111,5883.15662650602
220159,139576,47,"2022-06-22T15:56:03.648Z","2022-06-22T09:56:03.648-06:00[America/Edmonton]",NA,NA,"Eastbound",51.1158202793699,"Manifest","CN","[]","[]","2022-06-24T22:41:57.917Z",2961671.40677966,59843.8181818182,18073.3984463914,6883.16644224426,24956.5648886357,13570.8808117495
220171,139576,85,"2022-06-22T15:59:20.880Z","2022-06-22T09:59:20.88-06:00[America/Edmonton]",NA,NA,"Eastbound",58.2722777061354,"Manifest","CN","[]","[]","2022-06-24T22:41:58.033Z",3200906.37096774,82840.9833333333,19754.7728477286,7415.52435265868,27170.2972003873,14277.5460125448
220247,140249,47,"2022-06-22T19:31:36.419Z","2022-06-22T13:31:36.419-06:00[America/Edmonton]",NA,NA,"Eastbound",56.677275914874,"Petroleum Unit","CN","[]","[]","2022-06-22T20:05:26.726Z",3551037.75,NA,13161.1917422576,6040.28709171779,19201.4788339754,8050.59374999999
220258,140249,85,"2022-06-22T19:34:38.156Z","2022-06-22T13:34:38.156-06:00[America/Edmonton]",NA,NA,"Eastbound",62.8990554765202,"Petroleum Unit","CN","[]","[]","2022-06-22T20:05:26.819Z",3786983.40495868,6000,14244.3512404265,6501.13828826134,20745.4895286878,8670.97382920109
220330,140431,47,"2022-06-22T22:10:38.340Z","2022-06-22T16:10:38.34-06:00[America/Edmonton]",NA,NA,"Eastbound",58.9045673687574,"Manifest","CN","[]","[]","2022-06-26T03:15:23.562Z",1943409.03921569,197032,11111.524271239,4276.1107275674,15387.6349988064,6574.7589869281
220339,140431,85,"2022-06-22T22:13:31.327Z","2022-06-22T16:13:31.327-06:00[America/Edmonton]",NA,NA,"Eastbound",66.4837403850925,"Manifest","CN","[]","[]","2022-06-26T03:15:23.644Z",2102018.51851852,218618.517482517,12610.3866821674,4845.41309966042,17455.7997818278,7424.8869679703
220446,140172,8,"2022-06-22T18:51:43.077Z","2022-06-22T11:51:43.077-07:00[America/Vancouver]",NA,NA,"Westbound",52.839055884281,"Petroleum Unit","CN","[]","[]","2022-06-23T02:22:06.732Z",3907462.17777778,23726.5,12762.182043202,5806.28637743741,18568.4684206394,8227.38055555555
