"Date & Time","Date","Speed mph","excessSpeed","trainId","Speed Limit","Local Time","Location"
"2024-10-14T10:05:14.514-04:00[America/New_York]",2024-10-14,61.8772678140203,11.8772678140203,1056741,"Severe Violations of Safety Codes","05:09 AM","East Palestine, OH"
"2024-10-15T02:52:45.362-04:00[America/New_York]",2024-10-15,15.2692650186274,-34.7307349813726,1058023,"Operating Within Limits","21:56 PM","East Palestine, OH"
"2024-10-15T06:15:22.44-04:00[America/New_York]",2024-10-15,45.5327548937243,-4.4672451062757,1058254,"Operating Within Limits","01:19 AM","East Palestine, OH"
"2024-10-15T08:16:03.492-04:00[America/New_York]",2024-10-15,58.0475509607625,8.0475509607625,1058456,"Minor Violations","03:20 AM","East Palestine, OH"
"2024-10-15T08:38:43.257-04:00[America/New_York]",2024-10-15,33.8854183743842,-16.1145816256158,1058439,"Operating Within Limits","03:42 AM","East Palestine, OH"
"2024-10-16T04:41:38.825-04:00[America/New_York]",2024-10-16,57.0633197869331,7.0633197869331,1060090,"Minor Violations","23:45 PM","East Palestine, OH"
"2024-10-17T06:04:09.373-04:00[America/New_York]",2024-10-17,50.4180429958009,0.418042995800903,1062169,"Minor Violations","01:08 AM","East Palestine, OH"
"2024-10-17T17:19:32.532-04:00[America/New_York]",2024-10-17,39.758408781518,-10.241591218482,1063109,"Operating Within Limits","12:23 PM","East Palestine, OH"
"2024-10-18T00:28:33.679-04:00[America/New_York]",2024-10-18,36.8769217027146,-13.1230782972854,1063341,"Operating Within Limits","19:32 PM","East Palestine, OH"
"2024-10-18T07:18:15.412-04:00[America/New_York]",2024-10-18,51.7278010551156,1.7278010551156,1064254,"Minor Violations","02:22 AM","East Palestine, OH"
"2024-10-18T09:32:10.476-04:00[America/New_York]",2024-10-18,34.5635307968338,-15.4364692031662,1064391,"Operating Within Limits","04:36 AM","East Palestine, OH"
"2024-10-19T01:00:06.279-04:00[America/New_York]",2024-10-19,60.4233119518164,10.4233119518164,1065767,"Severe Violations of Safety Codes","20:04 PM","East Palestine, OH"
"2024-10-20T02:06:16.178-04:00[America/New_York]",2024-10-20,47.6326427736352,-2.3673572263648,1067318,"Operating Within Limits","21:10 PM","East Palestine, OH"
"2024-10-20T10:07:10.28-04:00[America/New_York]",2024-10-20,59.7587426950945,9.7587426950945,1067770,"Minor Violations","05:11 AM","East Palestine, OH"
"2024-10-20T13:41:39.907-04:00[America/New_York]",2024-10-20,36.4381688326726,-13.5618311673274,1067955,"Operating Within Limits","08:45 AM","East Palestine, OH"
"2024-10-21T05:10:40.315-04:00[America/New_York]",2024-10-21,45.1202607069634,-4.8797392930366,1068998,"Operating Within Limits","00:14 AM","East Palestine, OH"
"2024-10-21T14:57:14.4-04:00[America/New_York]",2024-10-21,50.9442948732826,0.944294873282601,1069687,"Minor Violations","10:01 AM","East Palestine, OH"
"2024-10-22T09:31:20.712-04:00[America/New_York]",2024-10-22,32.87454725073,-17.12545274927,1071046,"Operating Within Limits","04:35 AM","East Palestine, OH"
"2024-10-23T07:32:05.505-04:00[America/New_York]",2024-10-23,58.0603430508647,8.0603430508647,1072822,"Minor Violations","02:36 AM","East Palestine, OH"
"2024-10-25T09:29:59.367-04:00[America/New_York]",2024-10-25,29.4734140957864,-20.5265859042136,1076793,"Operating Within Limits","04:33 AM","East Palestine, OH"
"2024-10-26T04:25:43.731-04:00[America/New_York]",2024-10-26,62.3913455561772,12.3913455561772,1078338,"Severe Violations of Safety Codes","23:29 PM","East Palestine, OH"
"2024-10-26T10:21:15.194-04:00[America/New_York]",2024-10-26,52.0257885890915,2.0257885890915,1078690,"Minor Violations","05:25 AM","East Palestine, OH"
"2024-10-27T02:47:41.415-04:00[America/New_York]",2024-10-27,12.4774340136776,-37.5225659863224,1079810,"Operating Within Limits","21:51 PM","East Palestine, OH"
"2024-10-27T09:39:18.112-04:00[America/New_York]",2024-10-27,37.9997552379153,-12.0002447620847,1080142,"Operating Within Limits","04:43 AM","East Palestine, OH"
"2024-10-28T03:53:33.403-04:00[America/New_York]",2024-10-28,39.5164298794437,-10.4835701205563,1081448,"Operating Within Limits","22:57 PM","East Palestine, OH"
"2024-10-28T10:30:16.798-04:00[America/New_York]",2024-10-28,49.4622190373783,-0.537780962621703,1081981,"Operating Within Limits","05:34 AM","East Palestine, OH"
"2024-10-28T11:20:25.111-04:00[America/New_York]",2024-10-28,41.8563234483114,-8.1436765516886,1082000,"Operating Within Limits","06:24 AM","East Palestine, OH"
"2024-10-28T15:07:14.853-04:00[America/New_York]",2024-10-28,51.7892954977145,1.7892954977145,1082344,"Minor Violations","10:11 AM","East Palestine, OH"
"2024-10-29T02:29:12.209-04:00[America/New_York]",2024-10-29,50.1110007081112,0.111000708111199,1083378,"Minor Violations","21:33 PM","East Palestine, OH"
"2024-10-29T04:37:46.47-04:00[America/New_York]",2024-10-29,57.3623825347004,7.3623825347004,1083532,"Minor Violations","23:41 PM","East Palestine, OH"
"2024-10-29T07:39:07.94-04:00[America/New_York]",2024-10-29,52.8054047852724,2.8054047852724,1083657,"Minor Violations","02:43 AM","East Palestine, OH"
"2024-10-29T11:10:55.68-04:00[America/New_York]",2024-10-29,38.797528919228,-11.202471080772,1084020,"Operating Within Limits","06:14 AM","East Palestine, OH"
"2024-10-29T19:37:00.327-04:00[America/New_York]",2024-10-29,31.8133208179683,-18.1866791820317,1084758,"Operating Within Limits","14:40 PM","East Palestine, OH"
"2024-10-30T07:38:41.944-04:00[America/New_York]",2024-10-30,54.3938176003759,4.3938176003759,1085685,"Minor Violations","02:42 AM","East Palestine, OH"
"2024-10-31T09:26:04.547-04:00[America/New_York]",2024-10-31,37.3099975763268,-12.6900024236732,1088033,"Operating Within Limits","04:30 AM","East Palestine, OH"
"2024-10-31T21:01:30.42-04:00[America/New_York]",2024-10-31,64.9444129979437,14.9444129979437,1089171,"Severe Violations of Safety Codes","16:05 PM","East Palestine, OH"
"2024-11-01T18:21:44.885-04:00[America/New_York]",2024-11-01,42.7619155757116,-7.2380844242884,1090814,"Operating Within Limits","13:25 PM","East Palestine, OH"
"2024-11-02T03:55:58.492-04:00[America/New_York]",2024-11-02,41.6025955796141,-8.3974044203859,1091568,"Operating Within Limits","22:59 PM","East Palestine, OH"
"2024-11-02T09:07:06.446-04:00[America/New_York]",2024-11-02,51.9598079532276,1.9598079532276,1091914,"Minor Violations","04:11 AM","East Palestine, OH"
